freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
1395-1400,1.3950-1.4000,kHz,,,,LAND MOBILE (medical telemetry and medical telecommand),5.339 US79 US342 US385,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1400-1427,1.4000-1.4270,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),5.341 US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1427-1429.5,1.4270-1.4295,kHz,,,,LAND MOBILE (medical | telemetry and medical | telecommand) US350,5.341 US79,LAND MOBILE (telemetry and | telecommand) | Fixed (telemetry),5.341 US79 US350 NG338A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1429-1452,1.4290-1.4520,kHz,FIXED | MOBILE 5.341B 5.341C 5.343,5.338A 5.341,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1429.5-1432,1.4295-1.4320,kHz,,,,,5.341 US79 US350,FIXED (telemetry and telecommand) | LAND MOBILE (telemetry and | telecommand),5.341 US79 US350 NG338A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1432-1435,1.4320-1.4350,kHz,,,,,5.341 US83,FIXED | MOBILE except aeronautical mobile,5.341 US83 NG338A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1435-1525,1.4350-1.5250,kHz,,,,MOBILE (aeronautical telemetry) US338A,5.341 US84 US343,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1452-1492,1.4520-1.4920,kHz,FIXED | MOBILE 5.341B 5.343 5.346A | BROADCASTING | BROADCASTING-SATELLITE 5.208B,5.341 5.344 5.345,,,,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1492-1518,1.4920-1.5180,kHz,FIXED | MOBILE 5.341B 5.343,5.341 5.344,FIXED | MOBILE 5.341C,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1518-1525,1.5180-1.5250,kHz,FIXED | MOBILE 5.343 | MOBILE-SATELLITE (space-to-Earth),5.348 5.348A 5.348B 5.351A 5.34 1 5.344,FIXED | MOBILE | MOBILE-SATELLITE (space-to-Earth),,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1525-1530,1.5250-1.5300,kHz,SPACE OPERATION (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth) | Earth exploration-satellite | Fixed | Mobile 5.343,5.208B 5.351A 5.341 5.351 5.354,SPACE OPERATION (space-to-Earth) | FIXED | MOBILE-SATELLITE (space-to-Earth) | Earth exploration-satellite | Mobile 5.349,MOBILE-SATELLITE (space-to-Earth) US315 US380,5.341 5.351,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1530-1535,1.5300-1.5350,kHz,SPACE OPERATION (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth) 5.208B 5.351A 5.353A | Earth exploration-satellite | Fixed | Mobile 5.343,5.341 5.351 5.354,,,,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1535-1559,1.5350-1.5590,kHz,,,,MOBILE-SATELLITE (space-to-Earth) US308 US309,US315 US380 5.341 5.351 5.356,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1559-1610,1.5590-1.6100,kHz,,,,AERONAUTICAL RADIONAVIGATION | RADIONAVIGATION-SATELLITE (space-to-Earth)(space-to-space),5.341 US85 US208 US260,,,"GPS receivers, GNSS devices; ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1605-1625,1.6050-1.6250,kHz,BROADCASTING 5.89,5.90,,MOBILE US221 G127,,,,"AM/FM radios, DAB receivers, TV sets; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1610-1610.6,1.6100-1.6106,kHz,MOBILE-SATELLITE (Earth-to-space) | AERONAUTICAL RADIONAVIGATION | RADIODETERMINATION-SATELLITE | (Earth-to-space),5.351A 5.341 5.364 5.366 5.367 5.368 5.370 5.372,MOBILE-SATELLITE (Earth-to-space) | AERONAUTICAL RADIONAVIGATION | Radiodetermination-satellite | (Earth-to-space),MOBILE-SATELLITE (Earth-to-space) US319 US380 | AERONAUTICAL RADIONAVIGATION US260 | RADIODETERMINATION-SATELLITE (Earth-to-space),5.341 5.364 5.366 5.367 5.368 5.372 US208,,,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1610.6-1613.8,1.6106-1.6138,kHz,MOBILE-SATELLITE (Earth-to-space) | RADIO ASTRONOMY | AERONAUTICAL RADIONAVIGATION | RADIODETERMINATION- | SATELLITE (Earth-to-space),5.351A 5.149 5.341 5.364 5.366 5.367 5.368 5.370 5.372,MOBILE-SATELLITE (Earth-to-space) | RADIO ASTRONOMY | AERONAUTICAL RADIONAVIGATION | Radiodetermination-satellite | (Earth-to-space),MOBILE-SATELLITE (Earth-to-space) US319 US380 | RADIO ASTRONOMY | AERONAUTICAL RADIONAVIGATION US260 | RADIODETERMINATION-SATELLITE (Earth-to-space),5.341 5.364 5.366 5.367 5.368 5.372 US208 US342,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1613.8-1626.5,1.6138-1.6265,kHz,MOBILE-SATELLITE (Earth-to-space) | AERONAUTICAL RADIONAVIGATION | RADIODETERMINATION-SATELLITE | (Earth-to-space) | Mobile-satellite (space-to-Earth) 5.208B,5.351A 5.341 5.364 5.365 5.366 5.367 5.368 5.370 5.372,MOBILE-SATELLITE (Earth-to-space) | AERONAUTICAL RADIONAVIGATION | Mobile-satellite (space-to-Earth) 5.208B | Radiodetermination-satellite | (Earth-to-space),MOBILE-SATELLITE (Earth-to-space) US319 US380 | AERONAUTICAL RADIONAVIGATION US260 | RADIODETERMINATION-SATELLITE (Earth-to-space) | Mobile-satellite (space-to-Earth),5.341 5.364 5.365 5.366 5.367 5.368 5.372 US208,,,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1625-1705,1.6250-1.7050,kHz,FIXED | MOBILE | BROADCASTING 5.89 | Radiolocation,5.90,,,,,,"AM/FM radios, DAB receivers, TV sets; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1626.5-1660,1.6265-1.6600,kHz,,,,MOBILE-SATELLITE (Earth-to-space) US308 US309 US315 US380,5.341 5.351 5.375,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1660-1660.5,1.6600-1.6605,kHz,,,,MOBILE-SATELLITE (Earth-to-space) US308 US309 US380 | RADIO ASTRONOMY,5.341 5.351 US342,,,"Radio telescopes, scientific receivers; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1660.5-1668.4,1.6605-1.6684,kHz,,,,RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),5.341 US246,,,"Radio telescopes, scientific receivers; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1668.4-1670,1.6684-1.6700,kHz,,,,METEOROLOGICAL AIDS (radiosonde) | RADIO ASTRONOMY US74,5.341 US99 US342,,,"Radio telescopes, scientific receivers; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1670-1675,1.6700-1.6750,kHz,,,,,5.341 US211 US362,FIXED | MOBILE except aeronautical | mobile,5.341 US211 US362,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1675-1695,1.6750-1.6950,kHz,,,,METEOROLOGICAL AIDS (radiosonde) | METEOROLOGICAL-SATELLITE (space-to-Earth) US88,5.341 US211 US289,,,"Satellite phones, VSAT terminals, satellite internet; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1705-1800,1.7050-1.8000,kHz,FIXED | MOBILE | RADIOLOCATION | AERONAUTICAL RADIONAVIGATION,,,FIXED | MOBILE | RADIOLOCATION,US240,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1710-1761,1.7100-1.7610,kHz,,,,,5.341 US91 US378 US385,FIXED | MOBILE,5.341 US91 US378 US385,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1761-1780,1.7610-1.7800,kHz,,,,SPACE OPERATION | (Earth-to-space) G42,US91,,,,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1780-1850,1.7800-1.8500,kHz,,,,FIXED | MOBILE | SPACE OPERATION | (Earth-to-space) G42,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1800-1850,1.8000-1.8500,kHz,AMATEUR,,AMATEUR | FIXED | MOBILE except aeronautical | mobile | RADIONAVIGATION | Radiolocation,,,AMATEUR,NG92,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1850-2000,1.8500-2.0000,kHz,AMATEUR | FIXED | MOBILE except aeronautical mobile | RADIOLOCATION | RADIONAVIGATION,5.102,,,,,,"GPS receivers, GNSS devices; Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Ham radio transceivers, SDR receivers; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1850-2025,1.8500-2.0250,kHz,,,,,,FIXED | MOBILE,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
1930-1970,1.9300-1.9700,kHz,FIXED | MOBILE 5.388A 5.388B | Mobile-satellite (Earth-to-space),5.388,FIXED | MOBILE 5.388A 5.388B,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2000-2065,2.0000-2.0650,kHz,FIXED | MOBILE,,,FIXED | MOBILE,US340,MARITIME MOBILE,US340 NG7,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2010-2025,2.0100-2.0250,kHz,FIXED | MOBILE | MOBILE-SATELLITE | (Earth-to-space),5.388 5.389C 5.389E,FIXED | MOBILE 5.388A 5.388B,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2025-2110,2.0250-2.1100,kHz,,,,SPACE OPERATION | (Earth-to-space) (space-to-space) | EARTH EXPLORATION-SATELLITE | (Earth-to-space) (space-to-space) | SPACE RESEARCH | (Earth-to-space) (space-to-space) | FIXED | MOBILE 5.391,5.392 US90 US92 US222 US346 US347,FIXED NG118 | MOBILE 5.391,5.392 US90 US92 US222 US346 US347,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2065-2107,2.0650-2.1070,kHz,MARITIME MOBILE 5.105,5.106,,MARITIME MOBILE 5.105,US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2107-2170,2.1070-2.1700,kHz,FIXED | MOBILE,,,FIXED | MOBILE,US340,FIXED | MOBILE except aeronautical | mobile,US340 NG7,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2110-2120,2.1100-2.1200,kHz,,,,,US252,FIXED | MOBILE,US252,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2120-2160,2.1200-2.1600,kHz,FIXED | MOBILE 5.388A 5.388B | Mobile-satellite (space-to-Earth),5.388,FIXED | MOBILE 5.388A 5.388B,,,FIXED | MOBILE,NG41,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2160-2170,2.1600-2.1700,kHz,FIXED | MOBILE | MOBILE-SATELLITE (space-to-Earth),5.388 5.389C 5.389E,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2170-2173.5,2.1700-2.1735,kHz,,,,MARITIME MOBILE (telephony),US340,MARITIME MOBILE,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2173.5-2190.5,2.1735-2.1905,kHz,,,,MOBILE (distress and calling),5.108 5.109 5.110 5.111 US279 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2190.5-2194,2.1905-2.1940,kHz,,,,MARITIME MOBILE (telephony),US340,MARITIME MOBILE,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2194-2300,2.1940-2.3000,kHz,FIXED | MOBILE,5.112,FIXED | MOBILE,FIXED | MOBILE except aeronautical | mobile,US22 US340 NG7,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2200-2290,2.2000-2.2900,kHz,,,,"SPACE OPERATION (space-to-Earth) | (space-to-space) US96 | EARTH EXPLORATION-SATELLITE | (space-to-Earth) (space-to-space) | FIXED (line-of-sight only) | MOBILE (line-of-sight only including | aeronautical telemetry, but excluding | flight testing of manned aircraft) 5.391 | SPACE RESEARCH (space-to-Earth) | (space-to-space)",5.392 US303,,US96 US303,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2290-2300,2.2900-2.3000,kHz,,,,FIXED | MOBILE except aeronautical mobile | SPACE RESEARCH (deep space) | (space-to-Earth),,SPACE RESEARCH (deep space) | (space-to-Earth),,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2300-2495,2.3000-2.4950,kHz,FIXED | MOBILE | BROADCASTING 5.113,,,,,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2300-2305,2.3000-2.3050,kHz,,,,,G122,Amateur,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2305-2310,2.3050-2.3100,kHz,,,,,US97 G122,FIXED | MOBILE except aeronautical mobile | RADIOLOCATION | Amateur,US97,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2310-2320,2.3100-2.3200,kHz,,,Fixed | Mobile US100 | Radiolocation G2,FIXED | MOBILE | BROADCASTING-SATELLITE | RADIOLOCATION,5.396 US97 US100 US327,,,"AM/FM radios, DAB receivers, TV sets; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2320-2345,2.3200-2.3450,kHz,,,Fixed | Radiolocation G2,BROADCASTING-SATELLITE,5.396 US327,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2345-2360,2.3450-2.3600,kHz,,,Fixed | Mobile US100 | Radiolocation G2,FIXED | MOBILE US100 | BROADCASTING-SATELLITE | RADIOLOCATION,5.396 US327,,,"AM/FM radios, DAB receivers, TV sets; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2360-2390,2.3600-2.3900,kHz,,,MOBILE US276 | RADIOLOCATION G2 G120 | Fixed,MOBILE US276,US101,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2390-2395,2.3900-2.3950,kHz,,,MOBILE US276,AMATEUR | MOBILE US276,US101,,,"Ham radio transceivers, SDR receivers; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2395-2400,2.3950-2.4000,kHz,,,,AMATEUR,US101,,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2400-2417,2.4000-2.4170,kHz,,,,AMATEUR,5.150 5.282,,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2417-2450,2.4170-2.4500,kHz,,,Radiolocation G2,Amateur,5.150 5.282,,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2450-2483.5,2.4500-2.4835,kHz,FIXED | MOBILE | RADIOLOCATION,5.150,,FIXED | MOBILE | Radiolocation,5.150 US41,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2483.5-2500,2.4835-2.5000,kHz,FIXED | MOBILE | MOBILE-SATELLITE (space-to-Earth) | RADIOLOCATION | RADIODETERMINATION-SATELLITE | (space-to-Earth) 5.398,5.351A 5.150 5.402,FIXED | MOBILE | MOBILE-SATELLITE (space-to-Earth) | RADIOLOCATION | RADIODETERMINATION-SATELLITE | (space-to-Earth) 5.398,MOBILE-SATELLITE (space-to- | Earth) US319 US380 US391 | RADIODETERMINATION- | SATELLITE (space-to-Earth),5.398 5.150 5.402 US41,MOBILE-SATELLITE (space-to- | Earth) US380 | RADIODETERMINATION-SATEL- | LITE (space-to-Earth) 5.398,5.150 5.402 US41 US319 NG147,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2495-2501,2.4950-2.5010,kHz,STANDARD FREQUENCY AND TIME SIGNAL (2500 kHz),,STANDARD FREQUENCY AND TIME SIGNAL (2500 kHz),,,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2500-2520,2.5000-2.5200,kHz,FIXED 5.410 | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical | mobile 5.384A,5.415 5.404,FIXED 5.410 | FIXED-SATELLITE (space-to-Earth) 5.415 | MOBILE except aeronautical mobile 5.384A | MOBILE-SATELLITE (space-to-Earth),,5.339 US205,FIXED US205 | MOBILE except aeronautical mobile,5.339,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2502-2505,2.5020-2.5050,kHz,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2505-2850,2.5050-2.8500,kHz,FIXED | MOBILE,,FIXED | MOBILE US285,FIXED | MOBILE except aeronautical | mobile US285,US22 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2520-2655,2.5200-2.6550,kHz,FIXED 5.410 | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical | mobile 5.384A | BROADCASTING-SATELLITE,5.415 5.413 5.416 5.339 5.418B 5.418C,FIXED 5.410 | FIXED-SATELLITE (space-to-Earth) 5.415 | MOBILE except aeronautical mobile 5.384A | BROADCASTING-SATELLITE 5.413 5.416,,,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
